"LAT";"LON";"DATETIME";"distance"
54.52337;18.65824;2016-12-13 17:15:02;0
54.52337;18.65824;2016-12-13 17:15:07;6.79539474296413
54.52343;18.65826;2016-12-13 17:17:02;0
54.52343;18.65826;2016-12-13 17:17:08;3.41292917639052
54.52344;18.65821;2016-12-13 17:19:02;3.41292917639052
54.52343;18.65826;2016-12-13 17:19:07;3.41292917639052
54.52344;18.65821;2016-12-13 17:21:02;0
54.52344;18.65821;2016-12-13 17:21:08;5.11083850392485
54.52341;18.65815;2016-12-13 17:23:01;0
54.52341;18.65815;2016-12-13 17:23:07;0
54.52341;18.65815;2016-12-13 17:25:01;0
54.52341;18.65815;2016-12-13 17:25:07;6.21928530494816
54.52343;18.65824;2016-12-13 17:27:02;0
54.52343;18.65824;2016-12-13 17:27:07;0
54.52343;18.65824;2016-12-13 17:29:01;0
54.52343;18.65824;2016-12-13 17:29:07;0
54.52343;18.65824;2016-12-13 17:31:02;0
54.52343;18.65824;2016-12-13 17:31:07;5.91355996045458
54.52344;18.65815;2016-12-13 17:33:02;0
54.52344;18.65815;2016-12-13 17:33:07;3.57683464274731
54.52341;18.65813;2016-12-13 17:35:01;0
54.52341;18.65813;2016-12-13 17:35:06;0
54.52341;18.65813;2016-12-13 17:37:02;0
54.52341;18.65813;2016-12-13 17:37:08;7.4389662137729
54.52339;18.65824;2016-12-13 17:39:02;0
54.52339;18.65824;2016-12-13 17:39:07;5.88718843862739
54.52334;18.65827;2016-12-13 17:41:02;0
54.52334;18.65827;2016-12-13 17:41:07;0
54.52334;18.65827;2016-12-13 17:43:02;0
54.52334;18.65827;2016-12-13 17:43:07;0
54.52334;18.65827;2016-12-13 17:45:02;6.33954385720727
54.52338;18.6582;2016-12-13 17:45:08;4.46526088272441
54.52336;18.65814;2016-12-13 17:47:02;0
54.52336;18.65814;2016-12-13 17:47:07;0
54.52336;18.65814;2016-12-13 17:49:02;0
54.52336;18.65814;2016-12-13 17:49:08;5.11084209646047
54.52339;18.6582;2016-12-13 17:51:02;0
54.52339;18.6582;2016-12-13 17:51:07;3.40722782396239
54.52337;18.65824;2016-12-13 17:53:02;0
54.52337;18.65824;2016-12-13 17:53:22;0
54.52337;18.65824;2016-12-13 17:55:02;0
54.52337;18.65824;2016-12-13 17:55:20;3.3358477997949
54.52334;18.65824;2016-12-13 17:57:02;0
54.52334;18.65824;2016-12-13 17:57:25;0.645343407547813
54.52334;18.65823;2016-12-13 17:59:02;0
54.52334;18.65823;2016-12-13 17:59:09;0
54.52334;18.65823;2016-12-13 18:01:02;0
54.52334;18.65823;2016-12-13 18:01:17;1.11194926589098
54.52333;18.65823;2016-12-13 18:03:02;0
54.52333;18.65823;2016-12-13 18:03:07;0
54.52333;18.65823;2016-12-13 18:05:02;0
54.52333;18.65823;2016-12-13 18:05:09;4.46526499343025
54.52331;18.65829;2016-12-13 18:07:02;0
54.52331;18.65829;2016-12-13 18:07:07;0
54.52331;18.65829;2016-12-13 18:09:02;0
54.52331;18.65829;2016-12-13 18:09:07;0
54.52331;18.65829;2016-12-13 18:11:02;0
54.52331;18.65829;2016-12-13 18:11:07;7.58714770896809
54.52326;18.65821;2016-12-13 18:13:02;0
54.52326;18.65821;2016-12-13 18:13:08;11.6162040925618
54.52326;18.65839;2016-12-13 18:15:02;0
54.52326;18.65839;2016-12-13 18:15:07;0
54.52326;18.65839;2016-12-13 18:17:02;0
54.52326;18.65839;2016-12-13 18:17:08;6.82588599554218
54.52324;18.65829;2016-12-13 18:19:02;0
54.52324;18.65829;2016-12-13 18:19:08;0
54.52324;18.65829;2016-12-13 18:21:02;0
54.52324;18.65829;2016-12-13 18:21:08;6.14670561713327
54.52321;18.65821;2016-12-13 18:23:02;0
54.52321;18.65821;2016-12-13 18:23:07;0
54.52321;18.65821;2016-12-13 18:25:01;0
54.52321;18.65821;2016-12-13 18:25:07;0
54.52321;18.65821;2016-12-13 18:27:02;0
54.52321;18.65821;2016-12-13 18:27:08;8.6935636682635
54.52328;18.65827;2016-12-13 18:29:02;0
54.52328;18.65827;2016-12-13 18:29:08;6.69790427414415
54.52325;18.65818;2016-12-13 18:31:02;0
54.52325;18.65818;2016-12-13 18:31:07;0
54.52325;18.65818;2016-12-13 18:33:02;0
54.52325;18.65818;2016-12-13 18:33:07;4.64107979167878
54.52328;18.65823;2016-12-13 18:35:02;0
54.52328;18.65823;2016-12-13 18:35:08;6.54853992264165
54.52327;18.65833;2016-12-13 18:37:02;0
54.52327;18.65833;2016-12-13 18:37:09;0
54.52327;18.65833;2016-12-13 18:39:02;0
54.52327;18.65833;2016-12-13 18:39:07;2.31564116966939
54.52329;18.65832;2016-12-13 18:41:02;0
54.52329;18.65832;2016-12-13 18:41:06;7.88993072165496
54.52322;18.6583;2016-12-13 18:43:02;0
54.52322;18.6583;2016-12-13 18:43:08;0
54.52322;18.6583;2016-12-13 18:45:02;0
54.52322;18.6583;2016-12-13 18:45:07;3.40723500857059
54.52324;18.65834;2016-12-13 18:47:02;0
54.52324;18.65834;2016-12-13 18:47:07;0
54.52324;18.65834;2016-12-13 18:49:02;0
54.52324;18.65834;2016-12-13 18:49:08;3.33584779908758
